UBIGEO,N_MERCADOS_2017,N_MERCADOS_2022,N_MERCADOS_2023
051010,0,0,0
051011,0,0,0
051012,0,0,0
051101,1,1,1
051102,0,0,0
051103,0,0,0
051104,0,0,0
051105,0,0,0
051106,0,0,0
051107,0,0,0
051108,0,0,0
060101,5,5,5
060102,2,2,2
060102,2,2,2
060103,1,1,1
060105,1,1,1
060106,2,2,2
060107,0,0,0
060108,0,0,0
060109,1,1,1
060110,1,1,1
060111,1,1,1
060112,1,1,1
060201,0,1,1
060201,0,1,1
060202,1,1,1
060203,0,0,0
060204,0,0,0
060301,2,2,2
060302,0,0,0
060303,1,1,1
060304,1,1,1
060305,0,0,0
060306,0,0,0
060307,2,2,2
060308,1,1,1
060309,1,1,1
060310,0,0,0
060311,0,0,0
060312,1,1,1
060401,2,2,2
060401,2,2,2
060402,0,0,0
060403,0,0,0
060404,0,0,0
060405,0,0,0
060406,1,1,1
060407,1,1,1
060408,0,0,0
060409,1,1,1
060410,1,1,1
060411,0,0,0
060412,0,0,0
060414,0,0,0
060415,0,0,0
060416,0,0,0
060417,1,1,1
060417,1,1,1
060418,0,0,0
060419,1,1,1
060501,1,1,1
060502,1,1,1
060503,0,0,0
060504,0,0,0
060506,0,0,0
060507,0,0,0
060508,1,1,1
060601,5,5,5
060601,5,5,5
060602,1,1,1
060603,0,0,0
060604,0,0,0
060605,0,0,0
060606,1,1,1
060607,1,1,1
060608,0,0,0
060609,0,0,0
060610,0,0,0
060611,0,0,0
060612,0,0,0
060613,0,0,0
060614,1,1,1
060615,0,0,0
060701,2,2,2
060701,2,2,2
060702,0,0,0
060801,4,4,4
060802,1,1,1
060803,0,0,0
060804,0,0,0
060805,0,0,0
060806,0,0,0
060807,1,1,1
060807,1,1,1
060808,1,1,1
060809,1,1,1
060810,0,0,0
060811,0,0,0
060812,1,1,1
060901,1,1,1
060902,1,1,1
060903,0,0,0
060904,0,0,0
060905,0,0,0
060906,0,0,0
060907,0,0,0
061001,1,1,1
061002,0,0,0
061003,0,0,0
061004,0,0,0
061005,0,0,0
061006,0,0,0
061007,0,0,0
061101,1,1,1
061101,1,1,1
061102,0,0,0
061103,0,0,0
061104,0,0,0
061105,0,0,0
061106,0,0,0
061107,0,0,0
061108,0,0,0
061109,1,1,1
061111,0,0,0
061112,0,0,0
061113,0,0,0
061201,1,1,1
061202,0,0,0
061203,0,0,0
061204,0,0,0
061301,1,1,1
061302,0,0,0
061303,0,0,0
061304,0,0,0
061305,0,0,0
061306,0,0,0
061307,0,0,0
061308,0,0,0
061309,0,0,0
061310,0,0,0
061311,1,1,1
070101,76,76,76
070102,12,12,12
070103,3,3,3
070104,16,16,16
070105,1,1,1
070106,53,53,53
070107,7,7,7
080101,8,8,8
080101,8,8,8
080102,0,0,0
080103,0,0,0
080104,2,2,2
080105,8,8,8
080106,5,5,5
080107,0,0,0
080108,3,3,3
080201,1,1,1
080202,0,0,0
080203,0,0,0
080204,0,0,0
080205,1,1,1
080206,0,0,0
080207,0,0,0
080301,2,2,2
080302,0,0,0
080303,0,0,0
080304,0,0,0
080305,0,0,0
080306,0,0,0
080307,0,0,0
080308,1,1,1
080309,1,1,1
080401,3,3,3
080401,3,3,3
080402,1,1,1
080403,0,0,0
080404,0,0,0
080405,1,1,1
080406,0,0,0
080408,0,0,0
080501,0,0,0
080502,0,0,0
080503,0,0,0
080504,1,1,1
080505,0,0,0
080506,0,0,0
080507,0,0,0
080508,0,0,0
080601,1,1,1
080603,1,1,1
080604,1,1,1
080605,1,1,1
080607,0,0,0
080608,0,0,0
080701,1,1,1
080702,0,0,0
080703,0,0,0
080705,0,0,0
080706,0,0,0
080707,0,0,0
080708,1,1,1
080708,1,1,1
080801,1,1,1
080801,1,1,1
080802,0,0,0
080803,0,0,0
080804,0,0,0
080805,0,0,0
080806,0,0,0
080807,0,0,0
080808,0,0,0
080901,2,2,2
080901,2,2,2
080902,1,1,1
080902,1,1,1
080903,1,1,1
080903,1,1,1
080904,1,1,1
080905,0,1,1
080905,0,1,1
080906,1,1,1
080907,1,1,1
080908,1,1,1
080910,1,1,1
080910,1,1,1
080911,0,0,0
080912,0,0,0
080913,0,0,0
080914,0,0,0
081001,1,1,1
081002,0,0,0
081003,0,0,0
081004,0,0,0
081005,0,0,0
081006,0,0,0
081007,0,0,0
081008,0,0,0
081009,0,0,0
081101,1,1,1
081102,0,0,0
081103,1,1,1
081104,0,0,0
081105,0,0,0
081201,1,2,2
081201,1,2,2
081202,1,1,1
081203,1,1,1
081204,0,0,0
081205,0,0,0
081206,1,1,1
081207,0,0,0
081208,1,1,1
081209,0,0,0
081210,1,1,1
081211,0,0,0
081212,1,1,1
081301,2,2,2
081302,0,0,0
081303,1,1,1
081304,1,1,1
081305,0,0,0
081306,1,1,1
081307,1,1,1
090101,1,1,1
090102,0,0,0
090103,0,0,0
090104,0,0,0
090105,0,0,0
090106,0,0,0
090107,0,0,0
090108,0,0,0
090109,0,0,0
090110,0,0,0
090111,0,0,0
090112,1,1,1
090113,0,0,0
090114,0,0,0
090115,0,0,0
090116,0,0,0
090117,0,0,0
090118,0,0,0
090119,0,0,0
090201,1,1,1
090201,1,1,1
090202,0,0,0
090203,0,0,0
090204,0,0,0
090205,0,0,0
090206,1,1,1
090207,0,0,0
090208,0,0,0
090301,1,1,1
090302,0,0,0
090303,0,0,0
090304,0,0,0
090305,0,0,0
090306,0,0,0
090307,0,0,0
090308,0,0,0
090309,0,0,0
090310,0,0,0
090311,0,0,0
090401,1,1,1
090402,0,0,0
090403,0,0,0
090404,0,0,0
090405,0,0,0
090406,0,0,0
090407,0,0,0
090408,0,0,0
090409,0,0,0
090410,0,0,0
090411,0,0,0
090412,0,0,0
090413,0,0,0
090501,1,1,1
090502,0,0,0
090503,0,0,0
090504,0,0,0
090505,0,0,0
090506,0,0,0
090507,0,0,0
090508,0,0,0
090509,0,0,0
090510,0,0,0
090511,0,0,0
090601,0,0,0
090602,0,0,0
090603,0,0,0
090604,0,0,0
090605,0,0,0
090606,0,0,0
090607,0,0,0
090608,0,0,0
090609,0,0,0
090610,0,0,0
090611,0,0,0
090612,0,0,0
090613,0,0,0
090614,0,0,0
090615,0,0,0
090616,0,0,0
090701,0,0,0
090702,0,0,0
090703,1,1,1
090704,0,0,0
090705,1,1,1
090706,0,0,0
090707,0,0,0
090709,0,0,0
090710,0,0,0
090711,0,0,0
090713,0,0,0
090714,0,0,0
090715,0,0,0
090716,0,0,0
090717,0,0,0
090718,0,0,0
090719,0,0,0
090720,0,0,0
090721,0,0,0
090722,0,0,0
090723,0,0,0
100101,6,6,6
100102,7,7,7
100103,2,2,2
100104,0,0,0
100105,0,0,0
100106,0,0,0
100107,0,0,0
100108,0,0,0
100109,1,1,1
100110,0,0,0
100111,2,2,2
100112,0,0,0
100113,0,0,0
100201,1,1,1
100202,0,0,0
100203,0,0,0
100204,0,0,0
100205,0,0,0
100206,0,0,0
100207,1,1,1
100208,0,0,0
100301,0,0,0
100307,0,0,0
100311,0,0,0
100313,0,0,0
100316,0,0,0
100317,1,1,1
100321,0,0,0
100322,0,0,0
100323,0,0,0
100402,0,0,0
100403,0,0,0
100404,0,0,0
100501,2,2,2
100502,0,0,0
100503,0,0,0
100504,0,0,0
100505,0,0,0
100506,0,0,0
100507,0,0,0
100508,0,0,0
100509,0,0,0
100510,0,0,0
100511,0,0,0
100601,5,5,5
100602,0,0,0
100603,0,0,0
100604,2,2,2
100604,2,2,2
100605,0,0,0
100606,0,0,0
100607,0,0,0
