intervencion,radio_establecido_km,ubigeo_intervencion,distrito_intervencion_completo,ranking,nombre_cultivo,total_freq_año_previo,total_freq_año_post,num_distritos_capturados,distritos_vecinos
Intervención 2024,15,080101,"CUSCO (CUSCO, CUSCO)",3,papa blanca,207,191,21,"CUSCO (CUSCO, CUSCO) || CCORCA (CUSCO, CUSCO) || POROY (CUSCO, CUSCO) || SAN JERONIMO (CUSCO, CUSCO) || SAN SEBASTIAN (CUSCO, CUSCO) || SANTIAGO (CUSCO, CUSCO) || SAYLLA (CUSCO, CUSCO) || WANCHAQ (CUSCO, CUSCO) || ANTA (ANTA, CUSCO) || CACHIMAYO (ANTA, CUSCO) || PUCYURA (ANTA, CUSCO) || CALCA (CALCA, CUSCO) || COYA (CALCA, CUSCO) || LAMAY (CALCA, CUSCO) || PISAC (CALCA, CUSCO) || SAN SALVADOR (CALCA, CUSCO) || TARAY (CALCA, CUSCO) || HUANOQUITE (PARURO, CUSCO) || YAURISQUE (PARURO, CUSCO) || CHINCHERO (URUBAMBA, CUSCO) || HUAYLLABAMBA (URUBAMBA, CUSCO)"
Intervención 2024,15,080101,"CUSCO (CUSCO, CUSCO)",4,haba grano seco,156,180,21,"CUSCO (CUSCO, CUSCO) || CCORCA (CUSCO, CUSCO) || POROY (CUSCO, CUSCO) || SAN JERONIMO (CUSCO, CUSCO) || SAN SEBASTIAN (CUSCO, CUSCO) || SANTIAGO (CUSCO, CUSCO) || SAYLLA (CUSCO, CUSCO) || WANCHAQ (CUSCO, CUSCO) || ANTA (ANTA, CUSCO) || CACHIMAYO (ANTA, CUSCO) || PUCYURA (ANTA, CUSCO) || CALCA (CALCA, CUSCO) || COYA (CALCA, CUSCO) || LAMAY (CALCA, CUSCO) || PISAC (CALCA, CUSCO) || SAN SALVADOR (CALCA, CUSCO) || TARAY (CALCA, CUSCO) || HUANOQUITE (PARURO, CUSCO) || YAURISQUE (PARURO, CUSCO) || CHINCHERO (URUBAMBA, CUSCO) || HUAYLLABAMBA (URUBAMBA, CUSCO)"
Intervención 2024,15,080101,"CUSCO (CUSCO, CUSCO)",5,cebada grano,105,73,21,"CUSCO (CUSCO, CUSCO) || CCORCA (CUSCO, CUSCO) || POROY (CUSCO, CUSCO) || SAN JERONIMO (CUSCO, CUSCO) || SAN SEBASTIAN (CUSCO, CUSCO) || SANTIAGO (CUSCO, CUSCO) || SAYLLA (CUSCO, CUSCO) || WANCHAQ (CUSCO, CUSCO) || ANTA (ANTA, CUSCO) || CACHIMAYO (ANTA, CUSCO) || PUCYURA (ANTA, CUSCO) || CALCA (CALCA, CUSCO) || COYA (CALCA, CUSCO) || LAMAY (CALCA, CUSCO) || PISAC (CALCA, CUSCO) || SAN SALVADOR (CALCA, CUSCO) || TARAY (CALCA, CUSCO) || HUANOQUITE (PARURO, CUSCO) || YAURISQUE (PARURO, CUSCO) || CHINCHERO (URUBAMBA, CUSCO) || HUAYLLABAMBA (URUBAMBA, CUSCO)"
Intervención 2024,15,080708,"VELILLE (CHUMBIVILCAS, CUSCO)",1,papa nativa,78,40,4,"SANTO TOMAS (CHUMBIVILCAS, CUSCO) || CHAMACA (CHUMBIVILCAS, CUSCO) || LIVITACA (CHUMBIVILCAS, CUSCO) || VELILLE (CHUMBIVILCAS, CUSCO)"
Intervención 2024,15,080708,"VELILLE (CHUMBIVILCAS, CUSCO)",2,cebada grano,38,1,4,"SANTO TOMAS (CHUMBIVILCAS, CUSCO) || CHAMACA (CHUMBIVILCAS, CUSCO) || LIVITACA (CHUMBIVILCAS, CUSCO) || VELILLE (CHUMBIVILCAS, CUSCO)"
Intervención 2024,15,080708,"VELILLE (CHUMBIVILCAS, CUSCO)",3,maiz amilaceo,31,20,4,"SANTO TOMAS (CHUMBIVILCAS, CUSCO) || CHAMACA (CHUMBIVILCAS, CUSCO) || LIVITACA (CHUMBIVILCAS, CUSCO) || VELILLE (CHUMBIVILCAS, CUSCO)"
Intervención 2024,15,080708,"VELILLE (CHUMBIVILCAS, CUSCO)",4,papa blanca,18,2,4,"SANTO TOMAS (CHUMBIVILCAS, CUSCO) || CHAMACA (CHUMBIVILCAS, CUSCO) || LIVITACA (CHUMBIVILCAS, CUSCO) || VELILLE (CHUMBIVILCAS, CUSCO)"
Intervención 2024,15,080708,"VELILLE (CHUMBIVILCAS, CUSCO)",5,haba grano seco,16,7,4,"SANTO TOMAS (CHUMBIVILCAS, CUSCO) || CHAMACA (CHUMBIVILCAS, CUSCO) || LIVITACA (CHUMBIVILCAS, CUSCO) || VELILLE (CHUMBIVILCAS, CUSCO)"
Intervención 2024,15,090101,"HUANCAVELICA (HUANCAVELICA, HUANCAVELICA)",1,papa blanca,29,29,8,"HUANCAVELICA (HUANCAVELICA, HUANCAVELICA) || HUACHOCOLPA (HUANCAVELICA, HUANCAVELICA) || NUEVO OCCORO (HUANCAVELICA, HUANCAVELICA) || PALCA (HUANCAVELICA, HUANCAVELICA) || YAULI (HUANCAVELICA, HUANCAVELICA) || ASCENSION (HUANCAVELICA, HUANCAVELICA) || HUANDO (HUANCAVELICA, HUANCAVELICA) || SANTA ANA (CASTROVIRREYNA, HUANCAVELICA)"
Intervención 2024,15,090101,"HUANCAVELICA (HUANCAVELICA, HUANCAVELICA)",2,cebada grano,8,27,8,"HUANCAVELICA (HUANCAVELICA, HUANCAVELICA) || HUACHOCOLPA (HUANCAVELICA, HUANCAVELICA) || NUEVO OCCORO (HUANCAVELICA, HUANCAVELICA) || PALCA (HUANCAVELICA, HUANCAVELICA) || YAULI (HUANCAVELICA, HUANCAVELICA) || ASCENSION (HUANCAVELICA, HUANCAVELICA) || HUANDO (HUANCAVELICA, HUANCAVELICA) || SANTA ANA (CASTROVIRREYNA, HUANCAVELICA)"
