intervencion,radio_establecido_km,ubigeo_intervencion,distrito_intervencion_completo,ubigeo_vecino,distrito_vecino_completo,ranking,nombre_cultivo,freq_año_previo,freq_año_post
Intervención 2023,15,040124,"UCHUMAYO (AREQUIPA, AREQUIPA)",040117,"SACHACA (AREQUIPA, AREQUIPA)",4,apio,1,NA
Intervención 2023,15,040124,"UCHUMAYO (AREQUIPA, AREQUIPA)",040117,"SACHACA (AREQUIPA, AREQUIPA)",5,chirimoyo,1,NA
Intervención 2023,15,040124,"UCHUMAYO (AREQUIPA, AREQUIPA)",040122,"SOCABAYA (AREQUIPA, AREQUIPA)",1,alfalfa,14,NA
Intervención 2023,15,040124,"UCHUMAYO (AREQUIPA, AREQUIPA)",040122,"SOCABAYA (AREQUIPA, AREQUIPA)",2,avena forrajera,1,NA
Intervención 2023,15,040124,"UCHUMAYO (AREQUIPA, AREQUIPA)",040122,"SOCABAYA (AREQUIPA, AREQUIPA)",3,espinaca,1,NA
Intervención 2023,15,040124,"UCHUMAYO (AREQUIPA, AREQUIPA)",040122,"SOCABAYA (AREQUIPA, AREQUIPA)",4,haba forrajera,1,NA
Intervención 2023,15,040124,"UCHUMAYO (AREQUIPA, AREQUIPA)",040122,"SOCABAYA (AREQUIPA, AREQUIPA)",5,maiz amilaceo,1,NA
Intervención 2023,15,040124,"UCHUMAYO (AREQUIPA, AREQUIPA)",040123,"TIABAYA (AREQUIPA, AREQUIPA)",1,apio,10,NA
Intervención 2023,15,040124,"UCHUMAYO (AREQUIPA, AREQUIPA)",040123,"TIABAYA (AREQUIPA, AREQUIPA)",2,ajo,6,1
Intervención 2023,15,040124,"UCHUMAYO (AREQUIPA, AREQUIPA)",040123,"TIABAYA (AREQUIPA, AREQUIPA)",3,alfalfa,2,3
Intervención 2023,15,040124,"UCHUMAYO (AREQUIPA, AREQUIPA)",040123,"TIABAYA (AREQUIPA, AREQUIPA)",4,arveja grano verde,2,2
Intervención 2023,15,040124,"UCHUMAYO (AREQUIPA, AREQUIPA)",040123,"TIABAYA (AREQUIPA, AREQUIPA)",5,hierba buena,2,NA
Intervención 2023,15,040124,"UCHUMAYO (AREQUIPA, AREQUIPA)",040124,"UCHUMAYO (AREQUIPA, AREQUIPA)",1,cebolla,17,9
Intervención 2023,15,040124,"UCHUMAYO (AREQUIPA, AREQUIPA)",040124,"UCHUMAYO (AREQUIPA, AREQUIPA)",2,papa blanca,13,5
Intervención 2023,15,040124,"UCHUMAYO (AREQUIPA, AREQUIPA)",040124,"UCHUMAYO (AREQUIPA, AREQUIPA)",3,alfalfa,5,2
Intervención 2023,15,040124,"UCHUMAYO (AREQUIPA, AREQUIPA)",040124,"UCHUMAYO (AREQUIPA, AREQUIPA)",4,arveja grano verde,5,1
Intervención 2023,15,040124,"UCHUMAYO (AREQUIPA, AREQUIPA)",040124,"UCHUMAYO (AREQUIPA, AREQUIPA)",5,fresa,3,4
Intervención 2023,15,040124,"UCHUMAYO (AREQUIPA, AREQUIPA)",040125,"VITOR (AREQUIPA, AREQUIPA)",1,alfalfa,25,99
Intervención 2023,15,040124,"UCHUMAYO (AREQUIPA, AREQUIPA)",040125,"VITOR (AREQUIPA, AREQUIPA)",2,guayabo,11,23
Intervención 2023,15,040124,"UCHUMAYO (AREQUIPA, AREQUIPA)",040125,"VITOR (AREQUIPA, AREQUIPA)",3,naranjo,9,9
Intervención 2023,15,040124,"UCHUMAYO (AREQUIPA, AREQUIPA)",040125,"VITOR (AREQUIPA, AREQUIPA)",4,maiz chala,8,105
Intervención 2023,15,040124,"UCHUMAYO (AREQUIPA, AREQUIPA)",040125,"VITOR (AREQUIPA, AREQUIPA)",5,zanahoria,8,18
Intervención 2023,15,040124,"UCHUMAYO (AREQUIPA, AREQUIPA)",040126,"YANAHUARA (AREQUIPA, AREQUIPA)",1,ajo,NA,1
Intervención 2023,15,040124,"UCHUMAYO (AREQUIPA, AREQUIPA)",040126,"YANAHUARA (AREQUIPA, AREQUIPA)",2,alfalfa,NA,1
Intervención 2023,15,040124,"UCHUMAYO (AREQUIPA, AREQUIPA)",040126,"YANAHUARA (AREQUIPA, AREQUIPA)",3,brocoli,NA,4
Intervención 2023,15,040124,"UCHUMAYO (AREQUIPA, AREQUIPA)",040126,"YANAHUARA (AREQUIPA, AREQUIPA)",4,lechuga,NA,3
Intervención 2023,15,040124,"UCHUMAYO (AREQUIPA, AREQUIPA)",040127,"YARABAMBA (AREQUIPA, AREQUIPA)",1,alfalfa,NA,3
Intervención 2023,15,040124,"UCHUMAYO (AREQUIPA, AREQUIPA)",040128,"YURA (AREQUIPA, AREQUIPA)",1,alfalfa,13,21
Intervención 2023,15,040124,"UCHUMAYO (AREQUIPA, AREQUIPA)",040128,"YURA (AREQUIPA, AREQUIPA)",2,cebolla,8,1
Intervención 2023,15,040124,"UCHUMAYO (AREQUIPA, AREQUIPA)",040128,"YURA (AREQUIPA, AREQUIPA)",3,maiz choclo,5,NA
Intervención 2023,15,040124,"UCHUMAYO (AREQUIPA, AREQUIPA)",040128,"YURA (AREQUIPA, AREQUIPA)",4,ajo,3,NA
Intervención 2023,15,040124,"UCHUMAYO (AREQUIPA, AREQUIPA)",040128,"YURA (AREQUIPA, AREQUIPA)",5,maiz morado,3,1
Intervención 2023,15,211207,"SAN JUAN DEL ORO (SANDIA, PUNO)",211207,"SAN JUAN DEL ORO (SANDIA, PUNO)",1,naranjo,24,4
Intervención 2023,15,211207,"SAN JUAN DEL ORO (SANDIA, PUNO)",211207,"SAN JUAN DEL ORO (SANDIA, PUNO)",2,mandarina,21,3
Intervención 2023,15,211207,"SAN JUAN DEL ORO (SANDIA, PUNO)",211207,"SAN JUAN DEL ORO (SANDIA, PUNO)",3,platano,16,3
Intervención 2023,15,211207,"SAN JUAN DEL ORO (SANDIA, PUNO)",211207,"SAN JUAN DEL ORO (SANDIA, PUNO)",4,palto,11,1
Intervención 2023,15,211207,"SAN JUAN DEL ORO (SANDIA, PUNO)",211207,"SAN JUAN DEL ORO (SANDIA, PUNO)",5,cafe pergamino,10,1
Intervención 2023,15,211207,"SAN JUAN DEL ORO (SANDIA, PUNO)",211208,"YANAHUAYA (SANDIA, PUNO)",1,cafe pergamino,16,NA
Intervención 2023,15,211207,"SAN JUAN DEL ORO (SANDIA, PUNO)",211208,"YANAHUAYA (SANDIA, PUNO)",2,platano,12,NA
Intervención 2023,15,211207,"SAN JUAN DEL ORO (SANDIA, PUNO)",211208,"YANAHUAYA (SANDIA, PUNO)",3,mandarina,3,NA
